slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
171,1586,3DHST_35767,189.25639343,62.33111954,0,0,0.001000000047497451,6,2000,TARGET,7645.149803806281,10167.775323428632,A
246,1874,z7_GNW_19939,189.273392,62.324783,0,0,0.001000000047497451,5,2000,TARGET,7715.10351629524,10237.698139269502,A
173,1589,3DHST_35814,189.27183533,62.33174133,0,0,0.001000000047497451,6,2000,TARGET,7671.983484136974,10194.597587197362,A
215,1651,3DHST_37333,189.24797058,62.350914,0,0,0.001000000047497451,6,2000,TARGET,7514.578949664629,10037.263268977276,A
1,7,Hu10_z6_4,189.253998,62.353954,0,0,0.001000000047497451,1,2000,TARGET,7509.007141250067,10031.69431285439,A
2,8,Stark11_35_22248,189.253998,62.353954,0,0,0.001000000047497451,1,2000,TARGET,7509.007141250067,10031.69431285439,A
5,19,Stark11_35_22381,189.255386,62.35775,0,0,0.001000000047497451,1,2000,TARGET,7489.939970206431,10012.635887361408,A
218,1654,3DHST_37374,189.27670288,62.35157776,0,0,0.001000000047497451,6,2000,TARGET,7567.634892024115,10090.29669384401,A
249,1877,z7_GNW_32653,189.278732,62.357452,0,0,0.001000000047497451,5,2000,TARGET,7537.9736609795145,10060.649099590886,A
234,1709,z5_GNW_19038,189.29097,62.353146,0,0,0.001000000047497451,5,2000,TARGET,7586.9946013062745,10109.648464565375,A
219,1655,3DHST_37404,189.30064392,62.35203552,0,0,0.001000000047497451,6,2000,TARGET,7612.61973783223,10135.262540106758,A
222,1658,3DHST_37491,189.3066864,62.35374069,0,0,0.001000000047497451,6,2000,TARGET,7614.911441142591,10137.553604101366,A
13,123,z6_GNW_18532,189.292984,62.366489,0,0,0.001000000047497451,3,2000,TARGET,7514.62739706935,10037.314436447,A
8,48,z6_GNW_32543,189.318924,62.356548,0,0,0.001000000047497451,3,2000,TARGET,7623.321051269229,10145.960234574488,A
221,1657,3DHST_37484,189.32949829,62.35429764,0,0,0.001000000047497451,6,2000,TARGET,7657.350714949261,10179.97510246015,A
227,1663,3DHST_37631,189.33282471,62.35743713,0,0,0.001000000047497451,6,2000,TARGET,7646.104534554892,10168.73432619691,A
224,1660,3DHST_37542,189.34103394,62.35533142,0,0,0.001000000047497451,6,2000,TARGET,7674.597199338307,10197.214567630575,A
216,1652,3DHST_37358,189.35572815,62.35131073,0,0,0.001000000047497451,6,2000,TARGET,7727.054831060823,10249.649304976088,A
233,1699,z5_GNW_18766,189.345215,62.362179,0,0,0.001000000047497451,5,2000,TARGET,7643.981567792249,10166.613319022365,A
6,9,Hu10_z6_3,189.055939,62.12999,0,0,0.001000000047497451,1,2000,TARGET,7402.424920515105,9925.164452479503,B
919,1878,z7_GNW_7284,189.036041,62.149914,0,0,0.001000000047497451,5,2000,TARGET,7556.195271021886,10078.865827253372,B
835,1714,z5_GNW_4337,189.073959,62.132893,0,0,0.001000000047497451,5,2000,TARGET,7382.203331966381,9904.95067870982,B
839,1719,z5_GNW_9696,189.031815,62.164223,0,0,0.001000000047497451,5,2000,TARGET,7646.112154376631,10168.741802751389,B
834,1713,z5_GNW_2438,189.106522,62.118481,0,0,0.001000000047497451,5,2000,TARGET,7233.898975829338,9756.711775833166,B
13,23,Stark11_42_6706,189.079712,62.141884,0,0,0.001000000047497451,1,2000,TARGET,7421.763890455514,9944.492681316753,B
27,53,z6_GNW_1169,189.135452,62.108707,0,0,0.001000000047497451,3,2000,TARGET,7119.414251943124,9642.277317048996,B
832,1711,z5_GNW_1503,189.139328,62.111233,0,0,0.001000000047497451,5,2000,TARGET,7126.031226570359,9648.890993762356,B
29,55,z6_GNW_2993,189.127197,62.122612,0,0,0.001000000047497451,3,2000,TARGET,7215.665366574573,9738.485021979775,B
833,1712,z5_GNW_1663,189.147537,62.112507,0,0,0.001000000047497451,5,2000,TARGET,7116.756716125283,9639.620159932416,B
845,1725,z5_GNW_11701,189.055405,62.177502,0,0,0.001000000047497451,5,2000,TARGET,7674.096238265106,10196.711414821024,B
12,22,Stark11_41_13100,189.156693,62.11544,0,0,0.001000000047497451,1,2000,TARGET,7115.139790473699,9638.00337769268,B
28,54,z6_GNW_2045,189.156693,62.11544,0,0,0.001000000047497451,3,2000,TARGET,7115.139790473699,9638.00337769268,B
34,60,z6_GNW_10970,189.075775,62.172729,0,0,0.001000000047497451,3,2000,TARGET,7605.885266595796,10128.53025177476,B
33,59,z6_GNW_10421,189.089981,62.169113,0,0,0.001000000047497451,3,2000,TARGET,7556.708960756123,10079.3754833127,B
131,212,3DHST_1404,189.15312195,62.13081741,0,0,0.001000000047497451,6,2000,TARGET,7210.60842716225,9733.428755811363,B
30,56,z6_GNW_6554,189.137207,62.146313,0,0,0.001000000047497451,3,2000,TARGET,7331.460935089294,9854.227207956439,B
837,1717,z5_GNW_8402,189.13205,62.15662,0,0,0.001000000047497451,5,2000,TARGET,7400.976265621543,9923.71123350435,B
188,270,3DHST_2773,189.15611267,62.1460495,0,0,0.001000000047497451,6,2000,TARGET,7292.242404872445,9815.025481157114,B
25,50,z6_GNW_6440,189.162872,62.145832,0,0,0.001000000047497451,3,2000,TARGET,7277.544245387325,9800.333650574903,B
828,1704,z5_GNW_5021,189.181732,62.13776,0,0,0.001000000047497451,5,2000,TARGET,7193.536710329963,9716.36328535405,B
65,122,z6_GNW_3671,189.203537,62.127998,0,0,0.001000000047497451,3,2000,TARGET,7093.8998804709445,9616.770575626933,B
924,1902,z8_GNW_5376,189.191101,62.139683,0,0,0.001000000047497451,5,2000,TARGET,7186.058074515558,9708.887607344468,B
26,51,z6_GNW_8472,189.172394,62.157078,0,0,0.001000000047497451,3,2000,TARGET,7323.537988289145,9846.306129597366,B
132,213,3DHST_1430,189.21725464,62.13116074,0,0,0.001000000047497451,6,2000,TARGET,7085.03534689519,9607.909461264586,B
